,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,5.7,0.0,0.2,0.1,0.0,10.8,1.9,81.3,Topic 7,81.3
Document 1,1.7,0.1,16.7,0.1,11.9,0.4,65.6,3.6,Topic 6,65.6
Document 2,43.6,10.7,0.2,10.7,3.4,0.4,7.7,23.3,Topic 0,43.6
Document 3,29.7,21.3,1.2,4.5,0.1,24.9,4.7,13.7,Topic 0,29.7
Document 4,3.7,0.2,18.5,0.1,10.6,33.5,0.2,33.1,Topic 5,33.5
Document 5,3.6,11.8,0.0,0.0,6.9,25.0,52.5,0.0,Topic 6,52.5
Document 6,0.6,0.0,4.1,42.7,5.7,0.2,17.9,28.7,Topic 3,42.7
Document 7,0.0,0.0,39.7,0.9,17.9,0.1,14.7,26.6,Topic 2,39.7
Document 8,14.0,9.3,0.3,8.7,36.4,0.1,0.1,31.1,Topic 4,36.4
Document 9,23.5,5.0,0.0,0.0,0.0,20.8,17.2,33.4,Topic 7,33.4
Document 10,0.4,0.1,44.8,21.9,30.1,0.2,0.5,2.1,Topic 2,44.8
Document 11,0.1,14.6,39.9,16.8,2.7,0.0,0.3,25.5,Topic 2,39.9
Document 12,1.7,0.1,0.2,16.1,0.2,11.1,15.2,55.5,Topic 7,55.5
Document 13,0.0,0.0,78.3,3.6,0.1,0.0,0.1,17.8,Topic 2,78.3
Document 14,4.5,12.4,0.1,0.0,12.7,25.4,41.0,4.0,Topic 6,41.0
Document 15,66.0,4.0,2.2,5.5,0.0,5.5,14.1,2.7,Topic 0,66.0
Document 16,0.1,0.0,5.6,36.1,3.7,0.0,0.1,54.4,Topic 7,54.4
Document 17,0.1,31.7,0.1,22.6,5.3,0.0,24.8,15.3,Topic 1,31.7
Document 18,0.0,0.0,14.6,0.0,0.0,41.4,0.0,43.9,Topic 7,43.9
Document 19,0.0,0.0,48.8,0.0,5.5,2.2,2.3,41.1,Topic 2,48.8
Document 20,0.1,0.0,24.4,13.1,0.0,14.3,0.1,48.1,Topic 7,48.1
Document 21,0.0,0.0,7.0,37.7,0.0,6.9,3.7,44.6,Topic 7,44.6
Document 22,0.0,0.0,39.5,0.0,0.0,0.0,0.0,60.4,Topic 7,60.4
Document 23,0.0,0.0,52.7,0.0,20.3,0.0,6.9,20.0,Topic 2,52.7
Document 24,0.3,17.9,23.4,0.2,0.0,0.4,55.5,2.4,Topic 6,55.5
Document 25,0.1,1.3,0.0,12.4,3.2,0.2,65.6,17.2,Topic 6,65.6
Document 26,4.6,0.2,21.1,8.8,27.7,10.4,0.1,27.1,Topic 4,27.7
Document 27,0.1,17.1,26.3,21.0,4.4,3.5,21.8,5.8,Topic 2,26.3
Document 28,16.8,0.0,0.1,7.9,0.0,0.1,33.3,41.8,Topic 7,41.8
Document 29,2.8,1.1,0.3,0.1,0.0,0.1,41.1,54.6,Topic 7,54.6
Document 30,0.3,3.9,15.5,3.0,39.7,2.9,18.6,16.1,Topic 4,39.7
Document 31,0.0,0.0,48.0,6.3,0.0,9.3,11.6,24.8,Topic 2,48.0
Document 32,3.2,41.6,0.0,8.3,0.0,0.4,22.2,24.3,Topic 1,41.6
Document 33,0.0,0.3,0.0,43.4,28.8,8.0,0.0,19.4,Topic 3,43.4
Document 34,27.3,0.8,7.0,0.1,0.1,34.2,4.9,25.6,Topic 5,34.2
Document 35,9.1,0.0,59.6,0.3,16.7,3.5,4.4,6.3,Topic 2,59.6
Document 36,0.4,0.0,9.5,10.8,26.9,9.0,7.7,35.7,Topic 7,35.7
Document 37,32.9,10.0,7.0,7.6,0.0,1.9,10.7,29.8,Topic 0,32.9
Document 38,9.7,0.0,10.0,6.8,3.0,8.1,16.5,45.9,Topic 7,45.9
Document 39,32.2,5.0,0.3,0.2,8.4,12.0,0.2,41.7,Topic 7,41.7
Document 40,4.2,0.0,53.0,0.2,9.5,0.1,14.1,19.0,Topic 2,53.0
