,university,relationships,break ups,divorce,wedding,death,family,friendship
0,1e-06,0.999999,1e-06,0.999999,6.912766138584409e-06,1e-06,0.999999,0.999999
1,1e-06,1e-06,1e-06,0.999999,0.0009413574203049438,1e-06,1e-06,1e-06
2,1e-06,0.00023789185853695337,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06
3,1e-06,0.999999,1e-06,1e-06,0.128551822402582,1e-06,0.999999,1e-06
4,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06
5,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06
6,1e-06,3.6478203018202924e-06,1e-06,0.999999,5.000056236671386e-05,1e-06,1e-06,0.999999
7,0.999999,6.206813473227445e-05,1e-06,1e-06,7.577530592417437e-05,1e-06,1e-06,0.999999
8,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
9,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06,2.2042573584668294e-06
10,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
11,1e-06,1.0391536670031588e-05,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06
12,1e-06,1e-06,0.999999,1.1195144163731854e-06,2.5546576066374e-05,1e-06,1e-06,0.999999
13,0.999999,1e-06,1e-06,1e-06,0.0059290911498017995,1e-06,1e-06,1e-06
14,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
15,0.999999,1e-06,1e-06,3.0405343626301145e-06,1e-06,1e-06,1e-06,1e-06
16,0.999999,9.100057667607251e-05,1.6032979511947115e-06,1e-06,1e-06,0.999999,1e-06,0.999999
17,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
18,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
19,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
20,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06
21,0.999999,0.999999,0.999999,1e-06,0.999999,1e-06,0.999999,0.999999
22,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,0.999999,1e-06
23,1e-06,2.0787628691438423e-05,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
24,1e-06,1e-06,0.999999,0.999999,3.5908633194278195e-05,1e-06,1e-06,1e-06
25,0.999999,0.999999,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
26,1e-06,1e-06,1e-06,1e-06,0.005630857858379833,1e-06,1e-06,1e-06
27,1e-06,1e-06,0.999999,1.0097897394492983e-05,0.999999,1e-06,1e-06,1e-06
28,1e-06,0.999999,1e-06,1e-06,2.8684689067288958e-05,0.999999,1e-06,1e-06
29,1e-06,1e-06,1e-06,1e-06,9.075071089559624e-06,1e-06,1e-06,1e-06
30,0.999999,0.999999,0.999999,1e-06,1e-06,0.006827168209551211,1e-06,0.999999
31,0.999999,0.999999,0.999999,0.999999,6.9530041820626935e-06,1e-06,0.999999,1e-06
32,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,0.999999
33,1e-06,1e-06,3.975102697589192e-06,1e-06,0.999999,1e-06,0.999999,0.999999
34,0.999999,0.999999,1e-06,0.999999,1e-06,0.999999,0.999999,1e-06
35,1e-06,2.6692776604950444e-05,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
36,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
37,0.999999,1e-06,0.999999,2.573221046499157e-06,1e-06,1e-06,0.999999,1e-06
38,1e-06,1e-06,0.999999,1e-06,1.3585572359983143e-06,1e-06,0.999999,0.999999
39,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
40,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06
41,1e-06,1e-06,0.999999,1e-06,0.00012506045267020072,1e-06,1e-06,2.0762658487873338e-06
42,1e-06,1e-06,1e-06,1.071838203544751e-06,1e-06,0.999999,1e-06,1e-06
43,1e-06,2.1591691251956194e-06,1e-06,0.999999,0.005932101264010307,1e-06,1e-06,1e-06
44,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,0.0001439915437962757
45,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06
46,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,1e-06,0.999999
47,1e-06,9.429788080559526e-06,1e-06,0.999999,0.002331369637819513,1e-06,0.999999,1e-06
48,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,0.999999
49,1e-06,0.999999,1e-06,1e-06,1e-06,4.735700855469098e-06,0.999999,1e-06
50,1e-06,1e-06,1e-06,1.1692811722600612e-06,1e-06,0.999999,1e-06,0.00023759170632292885
51,1e-06,1e-06,1e-06,1e-06,1.9883857615927943e-05,1e-06,0.999999,1e-06
52,1e-06,7.220695577397412e-06,1e-06,1e-06,0.999999,0.999999,1e-06,1e-06
53,1e-06,1e-06,1e-06,1e-06,0.005447243223123931,0.999999,2.570630500621073e-06,1e-06
54,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
55,1e-06,1e-06,1e-06,1e-06,1.6337971477333436e-05,1e-06,1e-06,1e-06
56,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
57,0.999999,1e-06,1.3202280885327413e-06,1e-06,1e-06,0.999999,0.0002153032043341713,0.999999
58,1e-06,1.4108860470862921e-06,0.999999,1e-06,0.999999,1e-06,0.999999,1e-06
59,0.999999,5.049791846491653e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
60,0.999999,1e-06,1e-06,1e-06,2.7428605248581873e-05,1e-06,1e-06,0.999999
61,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999
62,1e-06,1e-06,1e-06,1e-06,0.006500434421263801,1e-06,1e-06,1e-06
63,0.999999,1e-06,0.999999,1e-06,0.999999,1e-06,0.999999,1e-06
64,1e-06,1e-06,1e-06,1.3626421322296154e-06,0.999999,1e-06,1e-06,1e-06
65,0.999999,2.0082723561355947e-06,1e-06,0.999999,0.999999,1e-06,1e-06,1e-06
66,1e-06,2.9817427429776967e-06,0.999999,1e-06,0.0015007121645931828,1e-06,1e-06,1e-06
67,0.999999,1e-06,1.3732296093172545e-05,0.999999,0.999999,1e-06,0.999999,1e-06
68,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
