,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 151,False,False,True,False,False,False,False,False
Document 152,False,False,True,False,False,False,False,False
Document 153,True,False,False,False,True,False,False,True
Document 154,False,False,False,False,False,True,False,False
Document 155,True,False,False,False,True,False,False,False
Document 156,False,False,False,False,False,True,False,True
Document 157,False,False,True,True,False,False,False,False
Document 158,False,True,False,False,False,False,False,False
Document 159,True,False,True,False,False,False,False,True
Document 160,False,True,False,False,False,False,False,True
Document 161,False,False,False,False,False,True,False,False
Document 162,False,False,True,False,False,False,False,False
Document 163,False,False,False,False,False,True,False,True
Document 164,False,True,False,False,False,False,False,False
Document 165,False,False,False,False,True,True,False,False
Document 166,False,True,False,False,False,False,True,False
Document 167,True,False,False,False,False,False,False,True
Document 168,False,False,True,False,False,False,True,False
Document 169,False,False,True,True,False,False,False,False
Document 170,False,True,False,True,False,False,True,False
Document 171,False,True,True,False,False,False,False,True
Document 172,False,True,False,False,True,False,False,False
Document 173,False,True,False,False,False,True,False,False
Document 174,True,False,False,False,False,False,False,False
Document 175,True,False,False,False,False,False,False,False
Document 176,False,False,False,False,False,True,False,False
Document 177,True,True,False,False,False,False,False,False
Document 178,True,False,False,False,False,False,False,False
Document 179,False,False,False,False,False,False,False,True
Document 180,False,False,False,False,True,False,False,False
Document 181,False,True,False,False,False,False,False,True
Document 182,False,False,True,False,False,False,True,False
Document 183,False,False,False,False,False,True,True,True
Document 184,True,False,True,False,False,False,True,False
Document 185,True,False,False,False,False,False,False,True
Document 186,False,False,False,False,False,False,False,True
Document 187,False,False,True,True,False,False,False,False
Document 188,True,False,False,False,False,True,True,False
Document 189,False,False,False,False,True,False,False,False
Document 190,False,False,True,False,True,False,True,False
Document 191,False,False,True,True,False,False,False,False
Document 192,False,False,False,False,False,False,False,True
Document 193,False,True,False,False,False,True,False,True
Document 194,False,False,False,False,True,False,False,True
Document 195,False,False,False,False,False,False,True,False
Document 196,True,False,False,False,False,False,False,True
Document 197,False,False,False,False,False,True,False,False
Document 198,False,True,False,False,False,False,False,True
Document 199,True,True,False,False,True,False,False,False
Document 200,False,False,False,False,False,False,True,False
Document 201,False,True,False,False,False,True,False,False
Document 202,False,True,False,False,False,False,False,False
Document 203,False,True,False,False,True,False,False,False
Document 204,False,True,False,False,False,False,False,False
Document 205,False,False,False,False,False,False,True,False
Document 206,False,False,False,False,False,False,True,False
Document 207,True,False,False,False,False,True,False,False
Document 208,False,False,False,False,False,False,True,True
Document 209,False,False,False,False,False,False,True,True
Document 210,True,False,True,False,False,False,True,False
Document 211,False,False,True,False,False,True,False,False
Document 212,False,False,False,True,False,False,False,False
Document 213,False,False,False,False,True,True,False,False
Document 214,False,False,False,False,False,False,True,False
Document 215,False,True,False,False,False,True,False,True
Document 216,False,True,False,False,False,False,False,False
Document 217,False,False,False,False,False,False,False,False
Document 218,False,False,False,False,True,True,False,True
Document 219,False,False,False,False,False,False,False,True
Document 220,True,False,False,False,False,False,False,False
Document 221,False,False,True,False,False,False,False,False
Document 222,False,False,False,True,False,False,False,True
Document 223,False,True,False,False,False,False,True,False
Document 224,False,False,False,False,False,False,False,True
Document 225,True,False,False,False,True,False,True,False
Document 226,False,False,True,False,False,True,False,False
Document 227,True,False,False,False,False,False,False,False
Document 228,False,False,False,False,True,True,False,False
Document 229,False,True,True,False,False,False,False,False
