,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,6.8,5.5,0.1,30.5,0.1,2.7,8.2,46.0,Topic 7,46.0
Document 1,2.3,7.2,0.1,0.1,2.4,23.8,63.7,0.3,Topic 6,63.7
Document 2,15.0,26.3,8.8,1.8,27.2,1.3,7.4,12.2,Topic 4,27.2
Document 3,16.4,57.2,3.2,2.4,2.5,2.3,6.9,9.1,Topic 1,57.2
Document 4,21.3,7.8,20.1,13.7,4.8,11.9,3.6,16.8,Topic 0,21.3
Document 5,0.4,6.6,25.9,0.1,18.3,0.3,47.5,0.8,Topic 6,47.5
Document 6,39.8,18.1,3.3,4.1,2.2,11.1,14.3,7.1,Topic 0,39.8
Document 7,3.1,4.4,20.3,14.2,4.7,30.5,16.3,6.5,Topic 5,30.5
Document 8,13.1,10.0,20.7,23.5,4.4,8.1,0.4,19.8,Topic 3,23.5
Document 9,0.2,28.8,8.9,16.9,3.2,3.2,19.7,19.2,Topic 1,28.8
Document 10,22.9,4.3,27.0,4.5,3.9,26.2,3.7,7.4,Topic 2,27.0
Document 11,27.3,3.9,11.8,4.6,7.7,22.6,1.6,20.4,Topic 0,27.3
Document 12,18.3,1.8,1.3,22.0,2.9,4.3,10.0,39.4,Topic 7,39.4
Document 13,6.2,3.0,3.8,3.2,18.5,38.1,11.8,15.3,Topic 5,38.1
Document 14,3.6,16.2,6.9,5.6,6.5,0.4,55.3,5.4,Topic 6,55.3
Document 15,35.4,36.7,3.9,2.1,2.5,3.5,15.6,0.3,Topic 1,36.7
Document 16,29.5,0.2,1.3,26.5,1.8,6.0,1.2,33.6,Topic 7,33.6
Document 17,10.3,10.7,23.2,3.4,7.6,0.8,25.3,18.8,Topic 6,25.3
Document 18,12.4,4.9,1.1,17.7,32.3,14.9,0.6,16.0,Topic 4,32.3
Document 19,4.6,0.3,1.7,14.7,15.0,47.7,1.5,14.5,Topic 5,47.7
Document 20,32.0,2.1,3.3,9.7,0.7,12.3,1.5,38.3,Topic 7,38.3
