,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,0.0,0.0,0.0,2.5,0.0,11.8,0.0,85.7,Topic 7,85.7
Document 1,19.6,79.3,0.0,0.0,0.0,0.0,0.0,1.0,Topic 1,79.3
Document 2,0.0,0.0,0.2,0.0,10.1,0.0,28.6,61.2,Topic 7,61.2
Document 3,5.1,3.7,0.0,52.6,0.0,0.0,0.0,38.5,Topic 3,52.6
Document 4,24.9,0.0,0.0,0.0,13.5,0.0,5.8,55.7,Topic 7,55.7
Document 5,0.0,82.7,17.3,0.0,0.0,0.0,0.0,0.0,Topic 1,82.7
Document 6,0.0,0.0,31.7,7.0,8.3,0.0,0.0,52.9,Topic 7,52.9
Document 7,30.3,16.0,1.7,0.0,0.0,0.2,12.0,39.8,Topic 7,39.8
Document 8,0.0,0.0,19.6,12.4,28.3,23.3,0.0,16.3,Topic 4,28.3
Document 9,0.0,0.0,0.0,29.7,0.0,8.7,12.8,48.8,Topic 7,48.8
Document 10,27.0,0.1,38.3,5.5,0.0,0.0,0.0,29.2,Topic 2,38.3
Document 11,37.3,0.0,13.3,0.0,0.0,0.0,0.0,49.4,Topic 7,49.4
Document 12,0.0,0.0,0.0,0.0,13.8,3.0,13.0,70.1,Topic 7,70.1
Document 13,38.7,0.0,0.0,0.0,0.0,31.0,0.0,30.2,Topic 0,38.7
Document 14,0.0,76.3,0.1,0.0,0.0,0.0,0.0,23.6,Topic 1,76.3
Document 15,0.0,0.0,0.0,0.0,0.0,0.0,42.4,57.5,Topic 7,57.5
Document 16,0.0,0.0,39.5,0.0,0.0,5.6,0.0,55.0,Topic 7,55.0
Document 17,0.0,37.2,31.7,0.0,7.6,0.0,0.0,23.4,Topic 1,37.2
Document 18,18.9,0.0,0.0,0.0,0.0,0.0,0.0,81.1,Topic 7,81.1
Document 19,19.2,0.0,0.0,0.0,0.0,29.6,0.0,51.1,Topic 7,51.1
Document 20,0.0,0.0,0.0,0.0,0.0,24.0,0.0,75.9,Topic 7,75.9
Document 21,0.0,0.0,33.9,0.0,3.0,4.3,0.0,58.8,Topic 7,58.8
Document 22,40.7,0.0,0.0,0.0,0.0,0.0,0.0,59.2,Topic 7,59.2
Document 23,0.0,0.0,0.0,0.0,0.0,57.9,5.2,36.9,Topic 5,57.9
Document 24,0.3,45.8,0.0,0.0,0.0,15.9,22.9,15.1,Topic 1,45.8
Document 25,0.0,0.0,0.0,0.0,0.0,0.0,63.2,36.8,Topic 6,63.2
Document 26,0.0,0.0,0.0,0.0,0.0,20.2,0.0,79.7,Topic 7,79.7
Document 27,0.0,39.9,15.7,0.0,0.0,30.4,0.0,14.0,Topic 1,39.9
Document 28,0.0,0.0,0.0,32.3,0.0,0.0,16.5,51.1,Topic 7,51.1
Document 29,0.0,35.2,0.0,0.0,0.0,0.0,0.0,64.7,Topic 7,64.7
Document 30,22.7,12.3,0.0,13.1,14.2,0.0,6.1,31.6,Topic 7,31.6
Document 31,8.9,0.0,0.0,0.0,4.9,37.5,0.0,48.7,Topic 7,48.7
Document 32,0.0,16.3,0.0,0.0,39.2,0.0,6.1,38.4,Topic 4,39.2
Document 33,0.0,0.0,26.8,36.9,0.0,0.0,0.0,36.3,Topic 3,36.9
Document 34,4.1,0.0,0.0,0.0,6.6,0.0,21.0,68.3,Topic 7,68.3
Document 35,21.8,0.1,0.0,0.2,0.0,37.6,10.7,29.6,Topic 5,37.6
Document 36,0.0,24.6,0.0,0.0,3.8,21.2,0.0,50.3,Topic 7,50.3
Document 37,17.3,30.5,0.0,0.0,0.0,0.0,0.0,52.2,Topic 7,52.2
Document 38,0.0,22.0,0.2,0.0,1.4,8.7,0.0,67.7,Topic 7,67.7
Document 39,0.0,18.7,0.0,0.0,0.0,2.7,0.1,78.5,Topic 7,78.5
Document 40,0.1,8.2,23.3,0.0,0.0,15.1,12.5,40.8,Topic 7,40.8
Document 41,0.0,19.7,0.0,0.0,0.0,37.0,0.0,43.2,Topic 7,43.2
Document 42,0.0,48.2,0.0,0.0,0.0,5.7,0.0,46.1,Topic 1,48.2
Document 43,65.5,0.0,0.0,0.0,0.0,34.5,0.0,0.0,Topic 0,65.5
Document 44,28.0,0.0,2.5,0.0,0.0,22.3,0.0,47.1,Topic 7,47.1
Document 45,59.1,0.0,0.0,29.5,0.0,0.0,0.0,11.4,Topic 0,59.1
Document 46,0.0,28.2,0.0,11.3,30.0,0.0,0.0,30.5,Topic 7,30.5
Document 47,0.0,0.0,0.0,33.6,6.2,0.0,0.0,60.2,Topic 7,60.2
Document 48,0.0,6.5,0.0,19.6,0.0,0.0,0.0,73.9,Topic 7,73.9
Document 49,20.0,16.3,0.0,7.8,0.0,16.6,0.0,39.2,Topic 7,39.2
Document 50,0.0,22.4,0.0,0.0,35.0,0.0,0.0,42.6,Topic 7,42.6
Document 51,0.0,5.5,0.0,0.0,0.0,47.8,0.0,46.6,Topic 5,47.8
Document 52,0.0,0.1,0.0,13.1,0.0,19.8,0.0,67.0,Topic 7,67.0
Document 53,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9,Topic 7,99.9
Document 54,0.0,35.1,0.0,0.0,0.0,34.8,0.0,30.1,Topic 1,35.1
Document 55,0.0,59.9,0.1,7.1,0.0,32.8,0.0,0.1,Topic 1,59.9
Document 56,3.7,0.0,37.4,0.0,0.0,0.0,19.5,39.3,Topic 7,39.3
Document 57,0.0,2.3,6.1,0.0,19.4,3.8,0.1,68.3,Topic 7,68.3
Document 58,0.0,48.8,0.0,17.3,0.0,0.0,0.0,33.8,Topic 1,48.8
Document 59,0.0,11.3,0.0,0.0,0.0,9.0,59.5,20.1,Topic 6,59.5
Document 60,0.0,31.3,56.9,0.0,0.0,0.0,0.0,11.8,Topic 2,56.9
Document 61,0.0,0.0,0.0,0.0,0.0,25.8,0.0,74.1,Topic 7,74.1
Document 62,19.5,40.3,0.0,0.2,0.0,0.0,0.4,39.7,Topic 1,40.3
Document 63,0.0,14.1,37.7,11.2,0.0,0.0,0.0,37.0,Topic 2,37.7
Document 64,0.0,31.8,0.0,0.0,0.0,0.0,0.0,68.2,Topic 7,68.2
Document 65,0.0,0.0,0.0,0.0,6.0,22.5,0.0,71.5,Topic 7,71.5
Document 66,14.9,0.0,0.0,0.0,0.0,41.5,0.0,43.6,Topic 7,43.6
Document 67,0.0,13.2,0.0,0.0,0.0,0.0,41.5,45.3,Topic 7,45.3
Document 68,0.0,0.0,0.0,0.0,0.0,69.6,0.0,30.3,Topic 5,69.6
Document 69,28.7,0.0,6.2,0.0,0.0,0.0,0.0,65.1,Topic 7,65.1
Document 70,0.0,0.0,27.4,0.0,0.0,0.0,7.4,65.2,Topic 7,65.2
Document 71,0.0,0.0,36.0,0.0,0.0,0.0,13.6,50.4,Topic 7,50.4
Document 72,57.0,0.0,0.0,0.0,17.8,0.0,0.0,25.1,Topic 0,57.0
Document 73,0.0,0.0,0.0,24.2,0.0,2.1,3.3,70.3,Topic 7,70.3
Document 74,0.0,62.9,0.1,0.0,0.0,0.1,0.0,36.9,Topic 1,62.9
Document 75,0.0,0.0,0.0,26.1,0.0,0.0,0.0,73.8,Topic 7,73.8
Document 76,0.0,22.1,0.0,0.0,58.6,0.0,7.7,11.6,Topic 4,58.6
Document 77,0.0,0.0,6.2,0.0,20.3,0.0,0.0,73.5,Topic 7,73.5
Document 78,9.1,0.0,16.7,11.4,0.0,34.4,5.9,22.5,Topic 5,34.4
Document 79,0.0,0.1,28.5,0.0,11.5,1.4,3.9,54.6,Topic 7,54.6
Document 80,0.0,0.0,27.3,0.0,0.0,0.0,0.0,72.7,Topic 7,72.7
Document 81,14.8,0.0,1.7,67.4,0.0,0.1,0.0,16.0,Topic 3,67.4
Document 82,34.7,0.0,0.0,8.5,0.0,10.3,0.0,46.5,Topic 7,46.5
Document 83,0.0,0.0,0.0,36.2,11.1,0.0,0.0,52.7,Topic 7,52.7
Document 84,7.2,10.8,21.8,7.9,0.0,10.3,13.8,28.2,Topic 7,28.2
Document 85,0.0,17.1,68.0,0.0,0.0,0.0,0.0,14.8,Topic 2,68.0
Document 86,0.0,0.0,0.0,15.0,0.0,0.0,0.0,85.0,Topic 7,85.0
Document 87,16.9,0.0,0.0,0.0,18.6,0.0,0.0,64.4,Topic 7,64.4
Document 88,0.0,0.0,0.0,0.0,0.0,0.0,15.0,84.9,Topic 7,84.9
Document 89,5.7,42.4,0.0,0.0,0.0,2.4,0.0,49.5,Topic 7,49.5
Document 90,32.1,0.0,0.0,0.0,0.0,19.2,0.0,48.6,Topic 7,48.6
Document 91,28.8,0.0,0.0,0.0,0.0,9.8,10.8,50.5,Topic 7,50.5
Document 92,0.0,29.5,0.0,0.0,2.5,17.6,0.0,50.3,Topic 7,50.3
Document 93,0.0,20.2,0.0,17.1,0.0,0.0,0.0,62.7,Topic 7,62.7
Document 94,0.0,27.1,0.0,4.1,0.0,0.0,8.8,60.1,Topic 7,60.1
Document 95,8.5,5.9,0.0,0.0,0.0,0.0,24.3,61.4,Topic 7,61.4
Document 96,0.0,20.2,10.1,0.0,0.0,0.0,0.0,69.7,Topic 7,69.7
Document 97,0.0,0.0,0.0,57.2,0.0,0.1,0.0,42.6,Topic 3,57.2
Document 98,0.1,0.0,0.0,0.0,18.2,0.0,6.8,75.0,Topic 7,75.0
Document 99,2.2,0.0,0.0,24.5,12.1,0.0,0.0,61.1,Topic 7,61.1
Document 100,21.3,0.0,1.7,0.0,5.9,11.9,0.0,59.1,Topic 7,59.1
Document 101,0.0,0.1,0.0,0.4,42.3,0.0,0.0,57.2,Topic 7,57.2
Document 102,20.7,18.3,0.1,2.1,0.0,24.5,0.6,33.7,Topic 7,33.7
Document 103,0.0,0.0,30.1,0.0,0.0,14.9,0.0,55.0,Topic 7,55.0
Document 104,3.3,0.0,6.4,0.0,46.2,0.0,4.7,39.4,Topic 4,46.2
Document 105,0.0,0.0,0.0,0.0,0.0,68.9,0.0,31.1,Topic 5,68.9
Document 106,14.9,0.0,0.0,0.0,0.0,0.0,0.0,85.1,Topic 7,85.1
Document 107,0.0,0.0,0.0,0.0,0.0,56.5,0.0,43.5,Topic 5,56.5
Document 108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 109,0.0,0.0,0.0,0.0,0.0,9.7,25.5,64.8,Topic 7,64.8
Document 110,0.0,0.0,0.0,0.0,0.0,2.3,25.2,72.4,Topic 7,72.4
Document 111,0.0,17.2,0.0,6.6,46.9,7.2,1.5,20.5,Topic 4,46.9
Document 112,13.9,37.3,10.6,0.0,0.0,0.0,19.6,18.6,Topic 1,37.3
Document 113,0.0,0.0,0.0,0.0,8.4,0.0,15.4,76.1,Topic 7,76.1
Document 114,16.5,0.0,0.0,0.0,0.0,27.7,0.0,55.8,Topic 7,55.8
Document 115,6.9,14.4,36.0,6.7,0.0,0.0,2.7,33.3,Topic 2,36.0
Document 116,0.0,0.0,53.9,0.0,0.0,0.0,0.0,46.1,Topic 2,53.9
Document 117,0.0,0.0,0.0,0.0,0.0,0.0,30.7,69.3,Topic 7,69.3
Document 118,0.0,71.2,0.0,0.0,7.4,0.0,0.0,21.3,Topic 1,71.2
Document 119,0.0,43.7,0.0,0.0,0.0,0.0,21.3,34.9,Topic 1,43.7
