,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 335,3.6,28.3,6.2,16.1,0.1,21.4,4.8,19.5,Topic 1,28.3
Document 336,16.2,0.9,23.0,1.8,0.1,20.5,1.0,36.6,Topic 7,36.6
Document 337,4.9,0.0,1.8,13.4,17.7,0.2,61.8,0.2,Topic 6,61.8
Document 338,9.5,25.2,7.3,1.9,8.1,1.3,43.4,3.3,Topic 6,43.4
Document 339,11.8,28.8,20.2,8.4,13.6,10.0,3.0,4.1,Topic 1,28.8
Document 340,3.2,31.0,8.2,8.4,7.2,15.6,22.0,4.4,Topic 1,31.0
Document 341,0.7,8.2,8.1,3.8,2.1,15.4,49.3,12.4,Topic 6,49.3
Document 342,57.6,6.8,4.0,3.2,10.2,3.7,9.4,5.0,Topic 0,57.6
Document 343,19.8,8.4,19.1,4.3,14.7,29.3,0.2,4.3,Topic 5,29.3
Document 344,18.1,7.2,12.7,5.7,3.5,17.3,17.7,17.8,Topic 0,18.1
Document 345,7.1,31.2,1.1,3.9,7.7,25.1,12.1,11.9,Topic 1,31.2
Document 346,22.3,8.2,13.3,3.0,2.5,11.4,11.8,27.5,Topic 7,27.5
Document 347,50.6,11.2,5.7,3.7,10.1,4.9,0.8,13.0,Topic 0,50.6
Document 348,22.7,7.3,3.7,12.3,38.0,5.0,6.0,5.1,Topic 4,38.0
Document 349,17.1,6.6,1.9,9.5,20.8,18.6,15.1,10.4,Topic 4,20.8
Document 350,2.0,0.6,9.1,9.2,0.5,30.6,0.6,47.4,Topic 7,47.4
Document 351,3.1,17.0,23.1,0.3,8.2,39.2,3.3,5.9,Topic 5,39.2
Document 352,0.2,14.7,2.4,0.1,7.6,1.4,18.4,55.1,Topic 7,55.1
Document 353,19.0,23.1,9.7,11.3,25.5,4.0,4.3,3.1,Topic 4,25.5
Document 354,9.9,3.0,1.3,14.9,19.1,33.5,1.2,17.1,Topic 5,33.5
Document 355,0.1,45.6,0.1,27.3,0.1,0.1,26.8,0.0,Topic 1,45.6
Document 356,54.7,0.5,16.8,18.3,4.9,0.3,0.4,4.0,Topic 0,54.7
Document 357,0.6,11.6,15.2,15.7,31.5,12.5,10.6,2.3,Topic 4,31.5
Document 358,23.8,25.8,15.6,3.0,0.5,4.4,10.5,16.3,Topic 1,25.8
