,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,76.7,Topic 7,76.7
Document 1,0.0,34.2,0.0,0.0,0.0,14.9,32.4,18.4,Topic 1,34.2
Document 2,24.9,0.0,0.0,8.2,0.0,0.0,11.8,55.0,Topic 7,55.0
Document 3,28.5,0.0,0.0,0.0,31.7,0.0,0.0,39.7,Topic 7,39.7
Document 4,20.3,0.0,12.9,0.0,16.3,0.0,0.0,50.4,Topic 7,50.4
Document 5,0.4,14.4,0.0,0.0,0.9,0.0,84.3,0.0,Topic 6,84.3
Document 6,0.0,26.3,0.0,15.5,0.0,0.0,0.0,58.2,Topic 7,58.2
Document 7,0.0,0.0,28.3,0.0,0.0,19.5,11.0,41.2,Topic 7,41.2
Document 8,14.8,0.0,21.7,3.5,28.1,0.0,0.0,31.9,Topic 7,31.9
Document 9,0.0,0.0,0.0,23.7,0.0,0.0,22.6,53.7,Topic 7,53.7
Document 10,14.5,0.0,45.7,0.0,0.0,0.0,11.1,28.6,Topic 2,45.7
Document 11,9.6,0.0,0.0,0.0,16.5,24.0,0.0,49.8,Topic 7,49.8
Document 12,12.2,11.6,0.0,0.0,0.0,0.0,6.8,69.4,Topic 7,69.4
Document 13,0.0,0.0,0.0,0.0,0.0,37.1,39.3,23.5,Topic 6,39.3
Document 14,0.0,19.4,0.0,0.0,0.0,0.0,65.1,15.5,Topic 6,65.1
Document 15,29.4,0.0,0.0,0.0,0.0,0.0,18.5,52.0,Topic 7,52.0
Document 16,20.5,0.0,0.0,0.0,0.0,6.6,0.0,72.8,Topic 7,72.8
Document 17,28.4,24.2,0.0,0.2,0.1,0.0,9.2,37.9,Topic 7,37.9
Document 18,0.0,0.0,15.9,0.0,0.0,0.0,0.0,84.1,Topic 7,84.1
Document 19,0.0,0.0,0.0,0.0,0.0,46.1,0.0,53.9,Topic 7,53.9
Document 20,0.0,0.0,0.0,0.0,18.5,17.2,0.0,64.3,Topic 7,64.3
Document 21,23.6,16.8,0.0,0.0,0.0,4.5,0.0,55.0,Topic 7,55.0
Document 22,0.0,0.0,33.1,0.0,0.0,3.9,0.0,63.0,Topic 7,63.0
Document 23,0.0,0.0,0.0,11.4,2.2,57.4,0.0,29.0,Topic 5,57.4
Document 24,39.2,0.0,0.0,0.0,22.1,14.0,24.7,0.0,Topic 0,39.2
Document 25,15.6,0.0,11.0,0.0,0.0,0.0,51.8,21.6,Topic 6,51.8
Document 26,0.0,23.9,12.9,0.0,0.0,1.9,0.0,61.2,Topic 7,61.2
Document 27,11.6,11.1,2.6,1.4,0.0,31.1,23.4,18.7,Topic 5,31.1
Document 28,0.0,0.0,11.0,0.0,0.0,0.0,39.8,49.2,Topic 7,49.2
Document 29,3.3,0.0,0.0,0.0,0.0,0.0,38.6,58.1,Topic 7,58.1
Document 30,0.0,0.0,14.8,33.2,0.0,9.3,18.4,24.3,Topic 3,33.2
Document 31,7.3,0.0,0.0,0.0,0.0,53.7,0.0,39.1,Topic 5,53.7
Document 32,12.4,41.8,0.0,0.0,0.0,0.0,0.0,45.8,Topic 7,45.8
Document 33,40.5,0.0,17.1,0.0,0.0,3.7,0.0,38.6,Topic 0,40.5
Document 34,0.0,0.0,6.2,20.6,0.0,0.0,9.6,63.7,Topic 7,63.7
Document 35,0.0,0.0,35.5,0.0,0.0,32.9,13.3,18.2,Topic 2,35.5
Document 36,0.0,27.6,0.0,0.0,0.0,22.6,0.0,49.7,Topic 7,49.7
Document 37,0.0,0.0,0.0,28.1,0.0,0.0,21.7,50.2,Topic 7,50.2
Document 38,7.6,0.8,12.8,0.0,0.0,0.0,5.5,73.3,Topic 7,73.3
Document 39,0.0,10.8,0.0,0.0,0.0,0.1,9.8,79.3,Topic 7,79.3
Document 40,4.8,0.0,23.0,2.6,0.0,23.4,10.0,36.1,Topic 7,36.1
Document 41,0.0,0.2,0.0,0.0,0.0,45.9,12.0,42.0,Topic 5,45.9
Document 42,0.0,0.0,5.8,0.0,0.0,0.0,50.3,43.9,Topic 6,50.3
Document 43,0.0,0.0,55.8,0.0,8.7,35.5,0.0,0.0,Topic 2,55.8
Document 44,0.0,0.0,21.6,0.0,0.0,27.4,0.0,51.1,Topic 7,51.1
Document 45,0.0,0.0,57.1,0.0,0.0,42.9,0.0,0.0,Topic 2,57.1
Document 46,0.0,27.9,0.0,0.0,35.5,0.0,0.0,36.7,Topic 7,36.7
Document 47,0.0,0.0,0.0,32.5,0.0,0.0,0.0,67.5,Topic 7,67.5
Document 48,0.0,0.0,3.7,0.0,0.0,26.0,0.0,70.2,Topic 7,70.2
Document 49,7.1,2.6,16.4,1.0,0.0,18.1,15.0,39.8,Topic 7,39.8
Document 50,0.0,4.2,0.0,13.2,0.0,0.0,34.0,48.6,Topic 7,48.6
Document 51,0.0,0.0,3.8,0.0,0.0,58.9,0.0,37.2,Topic 5,58.9
Document 52,0.0,0.0,15.7,0.0,7.6,0.0,17.7,59.0,Topic 7,59.0
Document 53,0.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9,Topic 7,99.9
Document 54,0.0,0.0,0.0,0.0,0.0,35.8,27.6,36.6,Topic 7,36.6
Document 55,11.4,75.2,0.1,12.3,0.0,0.0,0.0,0.9,Topic 1,75.2
Document 56,21.0,28.7,9.6,0.0,0.0,0.0,0.0,40.7,Topic 7,40.7
Document 57,20.0,0.0,0.0,0.0,6.1,0.0,4.1,69.8,Topic 7,69.8
Document 58,0.0,0.0,0.0,16.6,0.0,0.0,51.9,31.5,Topic 6,51.9
Document 59,0.0,0.0,0.0,0.0,0.0,18.4,59.6,21.9,Topic 6,59.6
Document 60,52.3,0.0,0.0,0.0,0.0,0.0,35.2,12.4,Topic 0,52.3
Document 61,0.0,0.0,0.0,0.0,27.7,0.0,0.0,72.2,Topic 7,72.2
Document 62,0.0,0.0,49.7,0.0,0.3,0.0,49.9,0.0,Topic 6,49.9
Document 63,42.5,0.0,0.0,0.0,0.0,0.0,8.5,49.0,Topic 7,49.0
Document 64,0.0,0.0,6.8,0.0,0.0,2.8,15.0,75.4,Topic 7,75.4
Document 65,7.4,0.0,0.0,0.0,0.0,20.4,0.0,72.3,Topic 7,72.3
Document 66,0.0,0.0,11.9,0.0,0.0,33.8,0.0,54.3,Topic 7,54.3
Document 67,0.0,7.1,4.5,0.0,0.0,0.0,38.7,49.7,Topic 7,49.7
Document 68,0.0,0.0,0.0,0.0,23.1,53.3,0.0,23.5,Topic 5,53.3
Document 69,11.9,0.0,4.1,0.0,27.6,0.0,0.0,56.3,Topic 7,56.3
Document 70,23.2,0.0,0.0,1.8,5.6,0.0,0.0,69.4,Topic 7,69.4
Document 71,17.0,23.4,0.1,0.0,6.1,0.0,0.0,53.4,Topic 7,53.4
Document 72,0.0,0.0,69.1,0.0,0.0,0.0,14.0,16.8,Topic 2,69.1
Document 73,0.0,19.6,0.0,0.0,4.4,0.0,0.0,76.0,Topic 7,76.0
Document 74,0.0,52.6,0.0,0.0,0.0,0.0,47.3,0.0,Topic 1,52.6
Document 75,0.9,0.0,0.0,26.8,0.0,0.0,0.1,72.1,Topic 7,72.1
Document 76,0.0,81.5,0.0,0.0,0.0,0.0,18.5,0.0,Topic 1,81.5
Document 77,22.7,0.0,0.0,0.0,0.0,0.0,0.0,77.3,Topic 7,77.3
Document 78,0.0,0.0,29.8,19.6,0.0,13.9,0.0,36.7,Topic 7,36.7
Document 79,0.0,37.9,0.0,0.0,0.0,0.0,0.0,62.1,Topic 7,62.1
Document 80,23.4,0.0,0.1,0.0,18.5,0.0,0.0,58.0,Topic 7,58.0
Document 81,13.2,0.5,0.0,36.7,0.0,24.7,0.0,24.9,Topic 3,36.7
Document 82,0.0,0.0,27.0,0.0,0.0,20.8,14.9,37.3,Topic 7,37.3
Document 83,0.0,0.0,0.0,35.1,13.9,0.0,0.0,50.9,Topic 7,50.9
Document 84,0.0,26.7,6.0,8.3,8.0,0.1,16.1,34.8,Topic 7,34.8
Document 85,18.8,66.9,0.0,0.0,0.0,0.0,14.2,0.0,Topic 1,66.9
Document 86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 87,0.0,0.0,29.5,0.0,0.0,0.0,0.0,70.5,Topic 7,70.5
Document 88,0.0,0.0,0.0,0.0,0.0,0.0,18.9,81.1,Topic 7,81.1
Document 89,0.0,0.0,0.0,3.8,28.8,0.2,19.5,47.5,Topic 7,47.5
Document 90,0.0,0.0,46.0,0.0,0.0,20.6,0.0,33.3,Topic 2,46.0
Document 91,0.0,0.0,0.0,2.7,0.0,22.0,0.0,75.2,Topic 7,75.2
Document 92,0.0,0.0,0.0,14.5,0.0,17.9,17.1,50.4,Topic 7,50.4
Document 93,0.0,0.0,0.0,16.9,9.9,0.0,9.4,63.7,Topic 7,63.7
Document 94,0.0,0.0,0.0,0.0,16.5,0.0,22.1,61.4,Topic 7,61.4
Document 95,0.0,0.0,4.4,0.0,0.0,0.0,22.4,73.2,Topic 7,73.2
Document 96,19.3,12.6,0.0,0.0,0.0,0.0,1.6,66.4,Topic 7,66.4
Document 97,0.0,36.2,0.0,0.0,0.0,0.1,0.2,63.5,Topic 7,63.5
Document 98,0.0,0.0,30.5,0.0,0.0,0.0,0.0,69.5,Topic 7,69.5
Document 99,21.4,0.0,1.3,0.0,7.0,0.0,0.0,70.2,Topic 7,70.2
Document 100,0.0,0.0,22.1,0.0,11.3,13.2,0.0,53.4,Topic 7,53.4
Document 101,28.8,0.0,0.0,0.0,0.0,0.0,6.5,64.7,Topic 7,64.7
Document 102,18.3,0.0,0.1,2.6,0.1,35.1,17.4,26.4,Topic 5,35.1
Document 103,0.0,28.9,0.0,0.0,2.9,0.0,0.0,68.2,Topic 7,68.2
Document 104,49.3,0.0,3.4,0.7,0.0,4.4,0.0,42.2,Topic 0,49.3
Document 105,0.0,0.0,0.0,0.0,28.8,39.8,0.0,31.4,Topic 5,39.8
Document 106,0.0,0.0,21.1,0.0,0.0,0.0,0.0,78.9,Topic 7,78.9
Document 107,0.0,0.0,0.0,0.0,35.5,19.3,0.0,45.2,Topic 7,45.2
Document 108,0.0,0.0,0.0,15.3,0.0,0.0,0.0,84.7,Topic 7,84.7
Document 109,0.0,0.0,38.5,0.0,0.0,7.9,0.0,53.6,Topic 7,53.6
Document 110,0.0,0.0,0.0,29.8,0.0,0.0,0.0,70.2,Topic 7,70.2
Document 111,0.0,29.5,0.0,0.0,0.0,17.3,34.1,19.1,Topic 6,34.1
Document 112,0.0,35.5,0.0,3.6,0.0,5.1,28.6,27.2,Topic 1,35.5
Document 113,6.9,0.0,0.0,0.0,0.0,0.0,15.2,77.9,Topic 7,77.9
Document 114,0.0,0.0,0.0,0.0,0.0,40.0,0.0,60.0,Topic 7,60.0
Document 115,30.7,13.6,17.7,0.0,0.0,0.0,0.1,37.8,Topic 7,37.8
Document 116,48.5,1.0,9.0,0.0,0.0,0.0,0.0,41.4,Topic 0,48.5
Document 117,0.0,0.0,7.4,0.0,0.0,0.0,8.0,84.5,Topic 7,84.5
Document 118,1.1,63.8,0.0,0.0,0.0,0.0,15.5,19.5,Topic 1,63.8
Document 119,0.0,0.0,0.0,0.0,0.0,0.0,63.4,36.6,Topic 6,63.4
Document 120,40.3,2.4,0.0,0.0,0.0,20.5,6.3,30.5,Topic 0,40.3
Document 121,2.2,0.0,0.0,0.0,17.2,0.0,0.0,80.6,Topic 7,80.6
Document 122,0.0,0.1,0.0,39.3,0.0,1.3,0.0,59.3,Topic 7,59.3
Document 123,0.0,0.0,12.9,0.0,0.0,40.1,0.0,47.0,Topic 7,47.0
Document 124,0.0,0.0,0.0,12.7,0.0,0.0,53.6,33.7,Topic 6,53.6
Document 125,15.0,0.0,0.0,0.0,0.0,0.0,50.7,34.3,Topic 6,50.7
Document 126,30.2,0.0,0.0,0.0,0.0,0.0,0.0,69.7,Topic 7,69.7
Document 127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 128,0.0,0.0,34.0,0.0,9.5,0.0,30.9,25.6,Topic 2,34.0
Document 129,0.0,0.0,0.0,0.0,0.0,29.6,32.2,38.2,Topic 7,38.2
Document 130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 131,0.0,0.0,0.0,0.0,9.4,56.7,0.0,33.9,Topic 5,56.7
Document 132,0.0,0.0,10.0,0.0,0.0,0.0,0.0,90.0,Topic 7,90.0
Document 133,0.0,12.3,0.0,0.0,31.5,0.0,0.0,56.2,Topic 7,56.2
Document 134,0.0,0.0,49.6,0.0,0.0,0.0,17.6,32.7,Topic 2,49.6
Document 135,4.9,0.0,0.0,25.2,0.0,0.0,4.0,65.8,Topic 7,65.8
Document 136,0.0,0.0,0.0,0.0,14.5,13.0,0.0,72.5,Topic 7,72.5
Document 137,0.0,0.0,11.3,0.0,0.0,28.4,0.0,60.2,Topic 7,60.2
Document 138,0.0,0.0,0.0,0.0,0.0,0.0,25.7,74.3,Topic 7,74.3
Document 139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 140,0.0,0.0,0.0,2.0,0.0,0.0,29.6,68.4,Topic 7,68.4
Document 141,27.1,51.4,0.0,0.0,0.0,0.0,2.7,18.7,Topic 1,51.4
Document 142,0.0,0.0,27.0,16.4,0.0,0.0,0.0,56.6,Topic 7,56.6
Document 143,0.0,0.0,0.0,0.0,0.0,35.3,0.0,64.7,Topic 7,64.7
Document 144,0.0,42.5,0.0,0.0,0.0,0.0,24.3,33.2,Topic 1,42.5
Document 145,0.0,0.0,37.9,0.0,0.0,0.0,0.0,62.0,Topic 7,62.0
Document 146,0.0,11.9,0.0,4.1,0.0,0.0,22.2,61.7,Topic 7,61.7
Document 147,0.0,0.0,0.0,0.0,33.3,0.0,13.3,53.4,Topic 7,53.4
Document 148,17.9,32.9,0.0,0.0,0.0,2.5,0.0,46.6,Topic 7,46.6
Document 149,0.0,24.1,20.0,0.0,0.0,0.0,0.0,55.9,Topic 7,55.9
Document 150,2.8,0.0,21.4,0.0,0.0,18.4,3.9,53.5,Topic 7,53.5
Document 151,0.0,0.0,29.1,0.0,0.0,16.1,11.4,43.3,Topic 7,43.3
Document 152,0.0,2.0,36.3,0.0,0.0,6.2,0.0,55.4,Topic 7,55.4
Document 153,0.0,36.4,0.0,0.0,0.0,0.0,0.0,63.6,Topic 7,63.6
Document 154,3.1,0.0,0.0,0.0,0.0,42.5,18.7,35.7,Topic 5,42.5
Document 155,34.3,15.5,0.0,0.0,0.0,0.0,5.8,44.3,Topic 7,44.3
Document 156,3.4,0.0,0.0,0.0,19.3,19.9,0.0,57.3,Topic 7,57.3
Document 157,0.0,0.0,52.4,0.0,0.0,0.0,20.5,27.1,Topic 2,52.4
Document 158,6.8,0.0,0.0,0.0,0.0,0.0,14.0,79.2,Topic 7,79.2
Document 159,35.4,0.0,15.8,0.0,0.0,0.0,0.0,48.7,Topic 7,48.7
Document 160,0.0,16.6,0.0,17.4,0.0,0.0,0.0,66.0,Topic 7,66.0
Document 161,0.0,0.0,60.0,0.0,0.0,0.1,0.0,39.9,Topic 2,60.0
Document 162,0.0,0.0,25.5,0.0,0.0,27.6,0.0,46.9,Topic 7,46.9
Document 163,0.0,0.0,25.3,0.0,0.0,16.4,0.0,58.2,Topic 7,58.2
Document 164,25.8,0.0,11.9,9.2,0.0,0.0,0.1,52.9,Topic 7,52.9
Document 165,0.0,0.0,0.0,0.0,27.8,2.8,1.8,67.5,Topic 7,67.5
Document 166,0.0,0.0,0.0,5.8,0.0,12.6,63.6,18.0,Topic 6,63.6
Document 167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 168,0.0,2.7,0.0,0.0,0.0,13.1,51.7,32.4,Topic 6,51.7
Document 169,0.0,24.9,16.9,0.0,0.0,28.1,0.0,30.1,Topic 7,30.1
Document 170,0.0,23.1,0.0,11.3,0.0,0.0,25.9,39.6,Topic 7,39.6
Document 171,0.0,0.0,0.0,23.9,0.0,0.0,13.2,62.9,Topic 7,62.9
Document 172,0.0,2.4,0.0,7.9,1.9,0.0,16.6,71.2,Topic 7,71.2
Document 173,0.0,0.0,0.0,0.0,0.0,34.4,7.1,58.5,Topic 7,58.5
Document 174,8.9,0.0,12.0,0.0,31.4,14.1,0.0,33.6,Topic 7,33.6
Document 175,49.7,4.6,0.0,0.0,0.0,8.8,0.0,37.0,Topic 0,49.7
Document 176,4.6,0.0,39.9,0.0,0.0,10.5,0.0,44.9,Topic 7,44.9
Document 177,0.0,35.4,0.0,0.0,0.0,0.0,0.0,64.6,Topic 7,64.6
Document 178,43.9,0.0,5.7,0.0,0.0,0.0,0.0,50.4,Topic 7,50.4
Document 179,0.0,0.0,0.0,0.0,0.0,2.4,2.2,95.5,Topic 7,95.5
Document 180,0.0,37.5,0.0,7.5,0.0,13.2,0.0,41.8,Topic 7,41.8
Document 181,0.0,0.0,0.0,0.0,3.0,8.2,3.8,85.0,Topic 7,85.0
Document 182,0.0,2.2,40.2,0.0,0.0,0.2,0.0,57.3,Topic 7,57.3
Document 183,0.0,7.6,0.0,0.0,0.0,20.4,19.2,52.8,Topic 7,52.8
Document 184,0.0,0.0,0.0,4.7,0.1,0.0,95.2,0.0,Topic 6,95.2
Document 185,32.9,0.0,0.0,0.0,0.0,0.0,0.0,67.0,Topic 7,67.0
Document 186,0.0,14.4,1.7,21.3,4.6,0.0,0.0,58.0,Topic 7,58.0
Document 187,1.4,2.2,19.5,29.3,0.0,15.5,0.0,32.1,Topic 7,32.1
Document 188,0.0,5.6,0.0,0.0,14.0,21.8,47.0,11.5,Topic 6,47.0
Document 189,0.0,0.0,6.0,0.0,5.4,0.0,28.2,60.4,Topic 7,60.4
Document 190,0.0,0.0,29.9,0.0,44.2,0.0,0.0,25.8,Topic 4,44.2
Document 191,0.0,13.2,0.0,2.7,0.0,20.4,0.0,63.7,Topic 7,63.7
Document 192,0.0,0.0,0.0,21.9,0.0,0.0,0.0,78.1,Topic 7,78.1
Document 193,0.0,9.1,0.0,6.7,0.0,11.6,0.0,72.5,Topic 7,72.5
Document 194,0.0,9.9,0.0,36.4,13.2,0.2,0.0,40.3,Topic 7,40.3
Document 195,0.0,0.0,0.0,0.0,10.6,24.2,42.1,23.1,Topic 6,42.1
Document 196,19.5,0.0,0.0,0.0,0.0,0.0,0.0,80.5,Topic 7,80.5
Document 197,0.0,0.0,0.0,0.0,9.1,30.3,14.6,46.0,Topic 7,46.0
Document 198,0.0,9.4,0.0,0.0,3.1,14.5,0.1,72.9,Topic 7,72.9
Document 199,7.9,0.0,0.0,0.0,27.1,0.0,13.0,52.0,Topic 7,52.0
Document 200,0.0,10.5,7.3,4.0,0.0,13.3,33.4,31.4,Topic 6,33.4
Document 201,0.0,0.0,23.9,0.0,0.0,25.7,0.0,50.3,Topic 7,50.3
Document 202,0.0,0.0,0.0,0.3,0.0,21.5,18.3,59.9,Topic 7,59.9
Document 203,0.0,0.7,15.5,2.5,0.0,0.0,0.0,81.3,Topic 7,81.3
Document 204,0.1,0.0,0.0,3.1,32.9,0.0,24.7,39.2,Topic 7,39.2
Document 205,0.1,0.0,15.3,0.0,0.0,0.0,84.6,0.0,Topic 6,84.6
Document 206,0.0,0.0,0.0,46.7,0.0,0.0,0.2,53.1,Topic 7,53.1
Document 207,0.0,0.0,0.1,0.0,22.5,47.6,0.0,29.8,Topic 5,47.6
Document 208,19.2,0.0,0.0,0.0,0.0,0.0,47.6,33.2,Topic 6,47.6
Document 209,6.1,0.0,0.0,0.0,0.0,0.0,29.0,64.8,Topic 7,64.8
Document 210,28.4,8.8,0.0,0.0,0.0,0.0,35.3,27.4,Topic 6,35.3
Document 211,0.0,18.8,0.0,0.0,0.0,49.5,2.4,29.3,Topic 5,49.5
Document 212,0.0,0.0,0.0,17.6,28.1,0.0,20.7,33.5,Topic 7,33.5
Document 213,0.0,0.0,0.0,0.0,0.0,60.0,0.0,39.9,Topic 5,60.0
Document 214,0.0,51.8,0.0,0.0,0.0,0.0,25.7,22.6,Topic 1,51.8
Document 215,19.8,0.0,0.0,0.0,0.0,0.8,0.1,79.3,Topic 7,79.3
Document 216,0.0,8.8,0.0,17.3,11.0,0.0,0.0,62.8,Topic 7,62.8
Document 217,0.0,0.0,6.8,19.0,0.0,20.1,15.0,39.1,Topic 7,39.1
Document 218,2.7,23.8,0.0,0.0,0.0,18.7,0.0,54.8,Topic 7,54.8
Document 219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 220,46.4,5.6,0.0,0.0,0.0,0.0,0.0,48.0,Topic 7,48.0
Document 221,0.0,0.0,30.2,0.0,13.5,0.0,0.0,56.2,Topic 7,56.2
Document 222,0.0,0.0,0.0,18.0,0.0,0.0,0.0,81.9,Topic 7,81.9
Document 223,0.0,5.4,0.0,7.2,0.0,0.0,31.9,55.5,Topic 7,55.5
Document 224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 225,0.0,58.2,0.0,0.1,26.5,0.0,14.1,1.1,Topic 1,58.2
Document 226,0.0,0.0,0.3,0.0,0.0,34.6,0.0,65.1,Topic 7,65.1
Document 227,20.2,0.0,12.4,0.1,0.0,0.0,0.0,67.3,Topic 7,67.3
Document 228,0.0,0.0,0.0,24.3,0.0,13.1,32.5,30.0,Topic 6,32.5
Document 229,30.2,0.0,0.0,0.0,0.0,0.0,14.1,55.7,Topic 7,55.7
Document 230,16.1,0.0,24.4,0.0,0.0,0.0,0.0,59.5,Topic 7,59.5
Document 231,7.2,0.0,0.0,9.5,10.7,22.2,0.0,50.4,Topic 7,50.4
Document 232,0.0,0.0,24.9,21.8,0.0,0.0,21.4,31.9,Topic 7,31.9
Document 233,0.0,0.0,0.0,37.1,0.0,0.0,0.0,62.9,Topic 7,62.9
Document 234,0.0,20.8,0.0,0.0,0.0,19.2,1.1,58.9,Topic 7,58.9
Document 235,0.0,0.0,33.9,0.0,0.0,50.4,0.0,15.6,Topic 5,50.4
Document 236,0.0,0.0,0.0,0.0,12.5,65.8,0.3,21.3,Topic 5,65.8
Document 237,45.4,0.0,0.0,0.0,10.9,0.0,2.9,40.7,Topic 0,45.4
Document 238,0.0,0.0,0.0,0.0,48.4,0.0,0.0,51.5,Topic 7,51.5
Document 239,0.0,0.0,6.2,0.0,36.2,16.0,0.0,41.6,Topic 7,41.6
Document 240,0.0,13.0,27.2,0.0,0.0,2.8,11.4,45.6,Topic 7,45.6
Document 241,23.9,0.0,0.0,0.0,0.0,6.5,33.2,36.3,Topic 7,36.3
Document 242,0.0,44.2,11.2,0.0,0.0,0.0,5.8,38.8,Topic 1,44.2
Document 243,0.0,0.0,25.2,8.3,0.0,0.8,13.4,52.3,Topic 7,52.3
Document 244,0.0,0.0,0.0,0.0,30.9,17.9,0.0,51.1,Topic 7,51.1
Document 245,0.0,0.0,0.0,0.0,19.3,0.0,0.0,80.7,Topic 7,80.7
