,university,relationships,break ups,divorce,wedding,death,family,friendship
0,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,0.999999,0.999999
1,1e-06,1.0126329757936205e-06,1e-06,0.999999,0.00011317394720252702,1e-06,1e-06,1e-06
2,1e-06,0.00020545840790405333,1e-06,0.999999,0.999999,0.999999,0.999999,1e-06
3,1e-06,0.999999,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06
4,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06
5,1e-06,1e-06,1e-06,0.999999,2.747155332330548e-06,1e-06,1e-06,1e-06
6,1e-06,1e-06,1e-06,0.999999,0.9896609005474094,7.010943033924298e-06,1e-06,0.999999
7,1e-06,3.0525986497154754e-05,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999
8,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
9,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,2.626715796245001e-05,1.5059110463530525e-06
10,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1.4150500000861722e-06
11,6.255023877961687e-06,3.0783431083556e-05,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06
12,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,0.0008413470449414002
13,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
14,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
15,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
16,0.999999,8.741571196624845e-06,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999
17,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
18,0.999999,1.8085845501579183e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
19,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
20,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06
21,0.999999,0.999999,0.999999,1e-06,0.999999,1e-06,1e-06,0.999999
22,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,0.999999,1e-06
23,1e-06,1.930263579988479e-05,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
24,1e-06,1e-06,0.999999,0.999999,6.988654053937083e-06,1e-06,1e-06,2.6244883078917695e-06
25,0.999999,0.999999,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
26,1e-06,1e-06,1e-06,1e-06,3.942839028262116e-06,1e-06,1e-06,1e-06
27,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06,1e-06,1e-06
28,1e-06,0.999999,1e-06,0.999999,0.00021414638045936802,0.999999,1e-06,3.7804053072680114e-05
29,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
30,0.999999,0.999999,0.999999,1e-06,1e-06,0.0006025519700913941,1e-06,0.999999
31,0.999999,0.999999,0.999999,0.999999,1e-06,1e-06,0.999999,1e-06
32,1e-06,2.259281989270355e-06,1e-06,0.999999,0.999999,0.999999,1e-06,0.999999
33,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,1e-06
34,0.999999,0.999999,1e-06,0.999999,1e-06,0.999999,0.999999,1.264106724630946e-06
35,1e-06,1.1338463053974317e-05,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
36,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
37,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.999999,1e-06
38,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,0.9999925532896488,0.999999
39,0.999999,1e-06,1e-06,1e-06,1e-06,1.7359606515351131e-06,1e-06,1e-06
40,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06
41,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,6.798542360103997e-06
42,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06
43,1e-06,1e-06,1e-06,0.999999,0.0016720835443555203,1e-06,1e-06,1e-06
44,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999,0.0026930520512195594
45,1e-06,1e-06,0.999999,1e-06,4.951316968587543e-06,1e-06,1e-06,1.3991420852909037e-06
46,1e-06,1e-06,0.999999,1e-06,0.999999,0.999999,1e-06,0.999999
47,1e-06,3.6035435335622995e-05,1e-06,0.999999,1e-06,1e-06,0.999999,0.00027844216331523346
48,1e-06,1e-06,1e-06,1e-06,0.999999,1.2442465463186377e-06,1e-06,0.999999
49,1e-06,0.999999,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06
50,1e-06,1.6415160129719397e-06,1e-06,1e-06,1e-06,0.999999,1e-06,0.999999
51,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.00020440307186554967,1e-06
52,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,1e-06,3.843467466285102e-06
53,1e-06,1e-06,1e-06,1e-06,0.0002452797725264042,0.999999,3.864229837734443e-06,5.073470787560734e-06
54,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999,1e-06
55,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
56,4.661404551087015e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
57,0.999999,1e-06,1e-06,1e-06,1e-06,0.999999,0.00017916564561293034,0.999999
58,1e-06,1.9887685228647493e-05,0.999999,1e-06,0.999999,1e-06,0.999999,1e-06
59,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999
60,0.999999,6.909795033775227e-06,1e-06,1e-06,4.938153648847607e-05,1e-06,1e-06,0.999999
61,1e-06,1.3306790097362621e-05,1e-06,1e-06,0.999999,0.999999,0.999999,0.999999
62,1e-06,1e-06,1e-06,1e-06,0.3354723726132589,1e-06,1e-06,1e-06
63,0.999999,1e-06,0.999999,1.191365081689371e-06,0.999999,1e-06,0.999999,1e-06
64,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
65,0.999999,1.9454374820154633e-06,1e-06,0.999999,0.999999,1e-06,0.0002579176945811377,1e-06
66,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
67,0.999999,1e-06,1e-06,0.999999,0.9994347886448762,1e-06,0.999999,1e-06
68,1e-06,1e-06,1e-06,1e-06,0.999999,1e-06,1e-06,1e-06
69,0.999999,1e-06,1e-06,1e-06,1e-06,1e-06,0.999999,0.999999
70,0.999999,1e-06,1e-06,0.999999,0.999999,7.749524718777732e-06,0.999999,1e-06
71,0.999999,0.999999,1e-06,0.999999,0.999999,0.999999,1e-06,1e-06
72,0.999999,2.968149841431189e-06,1e-06,1e-06,0.999999,0.999999,1e-06,1e-06
