,university,relationships,break ups,divorce,wedding,death,family,friendship
Document 0,False,False,False,True,False,False,False,True
Document 1,False,False,False,False,False,True,True,False
Document 2,False,True,False,False,True,False,False,False
Document 3,False,True,False,False,False,False,False,False
Document 4,True,False,True,False,False,False,False,False
Document 5,False,False,True,False,False,False,True,False
Document 6,True,False,False,False,False,False,False,False
Document 7,False,False,True,False,False,True,False,False
Document 8,False,False,True,True,False,False,False,False
Document 9,False,True,False,False,False,False,False,False
Document 10,True,False,True,False,False,True,False,False
Document 11,True,False,False,False,False,True,False,True
Document 12,False,False,False,True,False,False,False,True
Document 13,False,False,False,False,False,True,False,False
Document 14,False,False,False,False,False,False,True,False
Document 15,True,True,False,False,False,False,False,False
Document 16,True,False,False,True,False,False,False,True
Document 17,False,False,True,False,False,False,True,False
Document 18,False,False,False,False,True,False,False,False
Document 19,False,False,False,False,False,True,False,False
Document 20,True,False,False,False,False,False,False,True
Document 21,True,False,False,True,False,False,False,True
Document 22,False,False,False,False,False,True,False,True
Document 23,False,False,False,False,False,True,False,False
Document 24,False,False,False,False,False,False,True,False
Document 25,False,False,False,False,False,False,True,False
Document 26,True,False,True,False,False,True,False,False
Document 27,False,False,True,False,True,False,True,False
Document 28,False,False,False,False,False,False,True,False
Document 29,False,False,False,False,True,False,True,False
Document 30,False,False,True,False,False,False,False,False
Document 31,False,False,False,False,False,True,False,False
Document 32,True,False,False,False,False,False,True,True
Document 33,True,False,True,False,False,False,False,False
Document 34,False,True,False,False,False,False,False,True
Document 35,False,False,False,False,False,True,False,False
Document 36,True,False,False,True,False,False,False,False
Document 37,False,False,False,False,True,False,False,False
Document 38,False,False,False,True,False,True,False,False
Document 39,False,False,False,False,True,False,False,False
Document 40,False,False,False,False,False,True,False,False
Document 41,False,False,False,False,False,True,True,False
Document 42,False,False,False,True,False,False,True,False
Document 43,False,False,True,False,False,True,False,False
Document 44,False,False,False,False,False,True,False,False
Document 45,False,False,True,False,False,False,False,False
Document 46,True,False,False,False,False,False,False,False
Document 47,False,False,True,False,False,False,False,True
Document 48,False,False,True,False,False,False,False,True
Document 49,False,False,False,False,False,True,False,False
Document 50,False,False,False,False,False,False,True,True
Document 51,True,False,False,False,False,True,False,False
Document 52,False,False,False,False,False,False,False,False
Document 53,False,True,False,False,False,False,False,True
Document 54,False,False,False,False,False,True,True,False
Document 55,True,False,True,False,True,False,False,False
Document 56,True,False,False,False,True,False,False,False
Document 57,True,False,False,True,False,False,False,False
Document 58,False,True,False,False,False,False,True,False
Document 59,False,False,False,False,False,False,True,False
Document 60,True,False,False,False,False,False,True,False
Document 61,False,False,False,True,False,False,False,True
Document 62,False,False,True,False,False,False,True,False
Document 63,True,False,False,False,False,False,False,False
Document 64,False,False,False,False,False,True,False,False
Document 65,False,False,False,False,True,False,False,False
Document 66,False,False,False,False,False,True,False,True
Document 67,False,True,False,False,False,False,False,False
Document 68,False,False,False,False,False,True,False,False
Document 69,False,False,False,False,False,False,False,True
Document 70,False,False,False,False,False,False,False,True
Document 71,True,False,False,False,False,False,False,True
Document 72,False,False,True,False,False,False,False,False
Document 73,False,False,False,True,False,False,False,True
Document 74,False,False,False,False,False,False,True,False
Document 75,False,True,False,False,True,False,False,True
Document 76,False,False,True,False,False,False,True,False
Document 77,False,False,False,True,False,False,False,True
Document 78,True,True,False,False,False,True,False,False
Document 79,True,False,False,True,False,False,False,False
Document 80,True,False,True,False,False,False,False,False
Document 81,True,False,True,False,False,False,False,False
Document 82,False,True,False,False,False,True,False,False
Document 83,False,True,False,True,True,False,False,True
Document 84,True,False,False,False,False,False,False,False
Document 85,True,False,False,False,False,False,False,False
Document 86,False,True,False,False,False,False,False,True
Document 87,False,False,False,False,True,False,False,True
Document 88,False,False,False,False,True,False,False,True
Document 89,False,True,False,False,False,False,False,False
Document 90,False,False,False,False,False,True,False,False
Document 91,False,True,False,False,True,False,False,False
Document 92,False,False,False,False,False,True,True,False
Document 93,False,True,False,False,False,False,False,True
Document 94,False,True,False,False,False,False,False,True
Document 95,False,False,False,False,False,False,True,True
Document 96,False,False,False,False,False,False,False,True
Document 97,False,True,False,False,False,True,True,False
Document 98,False,False,True,False,True,False,False,False
Document 99,False,False,False,False,True,False,False,True
Document 100,False,False,True,False,False,True,False,False
Document 101,False,False,False,True,True,False,False,False
Document 102,True,False,False,False,False,True,False,False
Document 103,True,False,False,True,False,False,False,False
Document 104,False,False,False,False,True,False,False,False
Document 105,False,False,False,True,True,True,False,False
Document 106,False,False,True,True,False,False,False,True
Document 107,False,False,False,False,True,False,False,False
Document 108,False,False,False,True,False,False,False,True
Document 109,False,False,False,False,True,False,False,False
Document 110,False,True,False,False,False,False,False,True
Document 111,False,False,True,False,False,False,True,False
Document 112,False,False,False,False,False,False,True,False
Document 113,False,False,False,True,True,False,False,True
Document 114,False,False,False,False,False,True,False,True
Document 115,True,False,False,True,False,False,False,False
Document 116,True,False,False,False,False,False,False,False
Document 117,False,False,False,True,False,False,False,True
Document 118,False,False,False,False,False,False,True,False
Document 119,False,True,False,False,False,False,True,False
Document 120,True,False,False,False,True,False,False,False
Document 121,False,False,False,True,False,False,False,True
Document 122,False,True,False,False,False,False,False,False
