,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,3.2,3.2,28.7,1.3,0.2,1.8,6.5,55.1,Topic 7,55.1
Document 1,5.4,2.2,2.3,4.7,17.4,9.6,56.7,1.7,Topic 6,56.7
Document 2,10.1,27.9,7.1,19.4,11.2,4.3,12.6,7.4,Topic 1,27.9
Document 3,19.0,10.3,44.6,6.7,9.0,3.7,6.0,0.8,Topic 2,44.6
Document 4,34.1,0.2,13.4,1.2,13.2,13.4,5.4,19.0,Topic 0,34.1
Document 5,1.8,8.6,0.1,9.5,9.4,5.7,64.6,0.3,Topic 6,64.6
Document 6,15.7,2.4,4.0,34.6,6.2,18.6,7.1,11.3,Topic 3,34.6
Document 7,6.1,10.7,1.8,2.5,8.4,32.3,26.6,11.6,Topic 5,32.3
Document 8,10.9,13.1,2.5,10.6,23.1,6.8,0.9,32.0,Topic 7,32.0
Document 9,6.3,37.8,8.4,3.5,3.2,2.3,12.1,26.4,Topic 1,37.8
Document 10,10.6,0.9,8.0,28.6,5.1,40.5,4.8,1.6,Topic 5,40.5
Document 11,20.4,4.2,10.8,24.5,7.7,20.6,5.8,6.1,Topic 3,24.5
Document 12,23.7,6.5,17.6,0.7,2.7,4.0,7.8,36.9,Topic 7,36.9
Document 13,5.9,0.2,3.1,6.3,8.0,51.1,13.7,11.6,Topic 5,51.1
Document 14,0.5,8.7,3.9,14.9,2.9,2.6,62.1,4.4,Topic 6,62.1
Document 15,3.1,31.1,36.2,5.0,6.2,3.6,12.0,2.9,Topic 2,36.2
Document 16,17.5,2.6,7.7,14.8,1.9,7.9,1.4,46.2,Topic 7,46.2
Document 17,4.0,25.6,1.2,13.9,32.4,3.3,18.4,1.3,Topic 4,32.4
Document 18,0.9,4.3,5.7,2.8,36.6,16.1,0.6,33.0,Topic 4,36.6
Document 19,6.0,2.7,3.0,2.0,12.0,46.9,3.5,24.1,Topic 5,46.9
Document 20,28.3,0.3,19.7,4.2,17.8,17.1,0.3,12.2,Topic 0,28.3
Document 21,6.9,1.4,4.2,25.7,0.4,15.0,10.4,36.0,Topic 7,36.0
Document 22,3.4,3.4,9.4,2.5,17.7,32.6,0.2,30.7,Topic 5,32.6
Document 23,1.5,0.4,0.2,14.4,13.9,48.8,13.0,7.9,Topic 5,48.8
Document 24,19.4,8.3,9.3,0.1,2.2,15.2,38.4,7.1,Topic 6,38.4
Document 25,2.0,10.8,4.9,13.1,0.1,1.1,58.5,9.4,Topic 6,58.5
Document 26,4.9,0.3,13.3,40.8,14.0,16.0,0.0,10.6,Topic 3,40.8
Document 27,11.3,2.5,1.8,16.8,8.1,20.0,31.2,8.2,Topic 6,31.2
Document 28,11.6,18.3,11.7,4.2,14.8,3.9,18.6,17.0,Topic 6,18.6
Document 29,4.5,14.5,21.1,1.1,22.5,0.5,28.4,7.5,Topic 6,28.4
Document 30,1.2,8.4,5.0,37.9,12.3,13.5,18.1,3.7,Topic 3,37.9
