,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,0.1,0.0,0.0,0.0,19.9,54.8,0.0,25.2,Topic 5,54.8
Document 1,0.2,40.2,26.5,0.0,0.0,0.1,33.0,0.0,Topic 1,40.2
Document 2,42.0,5.6,6.2,4.9,6.2,26.4,6.3,2.4,Topic 0,42.0
Document 3,47.9,0.0,0.4,10.1,10.5,26.4,4.6,0.1,Topic 0,47.9
Document 4,0.1,12.7,13.4,6.5,15.8,25.1,0.0,26.4,Topic 7,26.4
Document 5,3.5,14.7,0.0,0.0,16.0,0.1,65.7,0.0,Topic 6,65.7
Document 6,0.3,10.4,1.1,38.2,8.3,33.7,8.1,0.0,Topic 3,38.2
Document 7,7.4,9.4,37.3,0.1,0.1,24.6,19.4,1.6,Topic 2,37.3
Document 8,9.8,12.5,9.6,6.2,25.0,5.6,0.2,31.3,Topic 7,31.3
Document 9,22.2,5.5,0.0,0.0,0.1,27.0,28.4,16.8,Topic 6,28.4
Document 10,0.2,14.2,26.7,8.4,42.0,0.9,7.4,0.1,Topic 4,42.0
Document 11,0.1,0.0,34.5,18.8,12.7,33.9,0.0,0.1,Topic 2,34.5
Document 12,0.2,6.9,0.1,1.7,0.0,47.8,16.6,26.9,Topic 5,47.8
Document 13,0.0,0.1,63.0,6.5,0.0,30.3,0.2,0.0,Topic 2,63.0
Document 14,0.3,31.0,0.0,3.4,17.5,3.4,40.3,4.1,Topic 6,40.3
Document 15,47.2,0.1,1.7,12.6,0.0,1.8,0.1,36.5,Topic 0,47.2
Document 16,0.1,13.7,3.3,14.1,0.0,32.5,0.2,36.0,Topic 7,36.0
Document 17,5.0,20.6,2.5,14.4,29.1,9.5,16.8,2.0,Topic 4,29.1
Document 18,0.0,0.0,17.7,0.1,0.6,81.5,0.0,0.0,Topic 5,81.5
Document 19,0.0,1.5,45.2,4.0,0.0,49.2,0.0,0.0,Topic 5,49.2
Document 20,0.0,0.0,0.2,40.6,0.0,59.1,0.0,0.0,Topic 5,59.1
