,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 823,15.7,16.7,0.4,0.5,9.7,0.1,16.1,40.8,Topic 7,40.8
Document 824,0.2,2.7,0.0,0.0,0.9,0.0,9.6,86.6,Topic 7,86.6
Document 825,12.2,34.6,0.0,2.4,12.0,0.1,17.6,21.2,Topic 1,34.6
Document 826,50.3,0.3,0.1,0.0,0.9,5.9,21.6,20.9,Topic 0,50.3
Document 827,21.5,37.5,0.1,2.6,7.2,5.7,25.3,0.1,Topic 1,37.5
Document 828,0.2,6.7,0.1,5.5,4.3,0.0,1.4,81.8,Topic 7,81.8
Document 829,1.6,23.8,0.0,21.0,0.1,25.3,2.2,25.9,Topic 7,25.9
Document 830,0.3,0.0,0.1,0.4,0.0,25.4,44.2,29.6,Topic 6,44.2
Document 831,0.0,45.7,1.1,23.1,0.0,0.0,0.0,30.0,Topic 1,45.7
Document 832,22.9,0.0,31.7,23.2,0.0,0.3,15.3,6.5,Topic 2,31.7
Document 833,0.1,12.2,2.2,0.2,1.2,32.2,48.7,3.2,Topic 6,48.7
Document 834,0.3,0.1,0.0,16.7,0.0,16.1,10.9,56.0,Topic 7,56.0
Document 835,10.6,0.0,59.8,4.9,0.0,0.0,1.2,23.3,Topic 2,59.8
Document 836,18.9,0.0,0.1,5.7,7.9,0.2,33.4,33.7,Topic 7,33.7
Document 837,6.9,0.0,23.9,0.1,0.0,16.1,12.9,40.0,Topic 7,40.0
Document 838,4.2,1.1,0.3,0.2,0.0,2.4,5.9,86.0,Topic 7,86.0
Document 839,36.6,3.3,8.9,16.5,0.0,12.1,11.8,10.7,Topic 0,36.6
Document 840,17.8,0.0,0.1,34.5,0.0,0.0,12.8,34.7,Topic 7,34.7
Document 841,5.8,19.4,0.2,0.0,47.8,0.1,0.6,26.1,Topic 4,47.8
Document 842,15.9,12.8,0.1,43.0,0.0,10.5,0.1,17.6,Topic 3,43.0
Document 843,0.1,1.6,6.6,1.1,23.6,28.0,7.6,31.3,Topic 7,31.3
Document 844,0.0,0.0,6.6,1.1,19.3,2.6,3.4,67.0,Topic 7,67.0
Document 845,0.1,0.0,0.2,7.5,0.0,0.2,10.0,82.0,Topic 7,82.0
Document 846,12.4,8.7,48.8,23.6,2.2,1.1,1.3,2.0,Topic 2,48.8
Document 847,10.7,0.0,0.3,0.0,38.5,3.5,0.0,47.0,Topic 7,47.0
Document 848,0.2,0.0,54.2,0.1,15.8,20.4,0.1,9.2,Topic 2,54.2
Document 849,0.1,0.2,26.4,0.8,0.0,12.0,4.8,55.7,Topic 7,55.7
Document 850,0.2,0.1,0.3,25.1,20.0,10.5,14.0,29.9,Topic 7,29.9
Document 851,14.6,3.8,9.1,0.0,0.1,0.0,32.0,40.4,Topic 7,40.4
Document 852,23.5,0.1,0.1,0.0,0.1,0.7,57.0,18.6,Topic 6,57.0
Document 853,0.2,5.6,1.4,3.9,0.4,32.0,0.2,56.4,Topic 7,56.4
Document 854,10.6,0.0,0.0,0.0,23.1,0.0,2.0,64.3,Topic 7,64.3
Document 855,37.8,0.0,5.4,0.2,4.2,51.7,0.1,0.4,Topic 5,51.7
Document 856,24.2,0.1,0.0,23.2,0.0,1.0,0.0,51.5,Topic 7,51.5
Document 857,27.2,11.7,6.2,13.4,0.7,15.9,24.5,0.4,Topic 0,27.2
Document 858,0.1,0.1,45.4,0.0,0.0,0.2,0.1,54.2,Topic 7,54.2
Document 859,13.1,0.0,0.1,30.8,0.1,0.1,9.1,46.7,Topic 7,46.7
Document 860,9.2,0.0,0.2,13.6,0.0,0.7,11.5,64.8,Topic 7,64.8
Document 861,47.6,0.3,0.0,0.0,7.3,8.7,20.2,16.0,Topic 0,47.6
Document 862,0.0,15.8,0.1,12.1,35.6,7.2,12.1,17.2,Topic 4,35.6
Document 863,14.3,5.0,32.0,0.1,0.0,3.8,0.1,44.7,Topic 7,44.7
Document 864,5.0,0.1,16.9,5.1,8.5,27.4,2.5,34.6,Topic 7,34.6
Document 865,0.6,5.4,0.0,0.2,0.0,26.0,20.7,47.1,Topic 7,47.1
Document 866,35.6,0.1,0.4,36.0,0.0,0.3,0.1,27.6,Topic 3,36.0
Document 867,0.0,0.1,0.2,0.1,0.0,43.4,0.0,56.2,Topic 7,56.2
Document 868,25.1,0.0,30.6,0.0,0.0,16.8,0.0,27.4,Topic 2,30.6
Document 869,17.6,7.6,32.1,0.0,4.4,0.0,16.7,21.5,Topic 2,32.1
