,university,relationships,break ups,divorce,wedding,death,family,friendship,Dominant_Topic,Topic_Probability
Document 0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,85.7,Topic 7,85.7
Document 1,0.0,77.0,0.8,0.0,6.5,0.0,0.0,15.6,Topic 1,77.0
Document 2,9.3,0.3,6.4,37.2,0.0,0.5,0.0,46.2,Topic 7,46.2
Document 3,38.0,0.0,0.0,22.6,0.0,5.6,0.0,33.7,Topic 0,38.0
Document 4,0.0,0.0,15.9,0.0,12.3,23.9,0.0,47.8,Topic 7,47.8
Document 5,0.0,75.1,0.0,24.8,0.0,0.0,0.0,0.0,Topic 1,75.1
Document 6,0.0,0.0,0.0,0.0,16.2,37.2,0.0,46.5,Topic 7,46.5
Document 7,0.0,16.9,13.3,0.0,18.5,0.0,6.2,45.1,Topic 7,45.1
Document 8,15.8,0.0,15.7,0.0,19.1,19.9,0.0,29.5,Topic 7,29.5
Document 9,0.0,5.3,0.0,28.8,20.0,0.0,0.0,45.8,Topic 7,45.8
Document 10,0.0,0.1,29.5,5.8,19.9,22.1,0.0,22.5,Topic 2,29.5
Document 11,0.0,0.0,23.5,0.0,0.0,26.8,9.6,40.0,Topic 7,40.0
Document 12,11.0,5.2,0.0,0.0,0.0,0.0,0.0,83.7,Topic 7,83.7
Document 13,0.0,0.0,33.4,0.0,0.0,0.0,35.3,31.3,Topic 6,35.3
Document 14,0.0,67.4,0.0,13.3,0.1,7.2,0.0,11.9,Topic 1,67.4
Document 15,11.7,0.0,1.9,58.8,0.0,0.0,0.0,27.7,Topic 3,58.8
Document 16,0.0,0.0,0.0,0.0,0.0,40.8,0.0,59.2,Topic 7,59.2
Document 17,9.4,0.0,0.0,0.0,0.0,0.0,64.6,25.9,Topic 6,64.6
Document 18,0.0,0.0,20.1,0.0,0.0,0.0,0.0,79.8,Topic 7,79.8
Document 19,0.0,0.0,43.6,0.0,0.0,0.0,0.0,56.4,Topic 7,56.4
Document 20,0.0,0.0,0.0,0.0,0.0,21.8,7.9,70.3,Topic 7,70.3
Document 21,0.0,0.0,0.0,0.0,11.4,30.3,0.0,58.3,Topic 7,58.3
Document 22,0.0,0.0,33.1,0.0,0.0,0.0,0.0,66.9,Topic 7,66.9
Document 23,0.0,0.0,41.4,0.0,10.5,0.0,18.4,29.8,Topic 2,41.4
Document 24,0.0,57.4,0.0,6.4,18.3,0.0,0.0,17.8,Topic 1,57.4
Document 25,0.0,0.0,0.0,0.0,0.0,0.0,67.5,32.5,Topic 6,67.5
Document 26,0.0,0.0,27.6,5.5,0.0,28.6,0.0,38.3,Topic 7,38.3
Document 27,18.9,31.0,14.8,0.0,16.3,0.0,2.5,16.5,Topic 1,31.0
Document 28,0.0,0.0,0.0,13.1,0.0,0.0,34.8,52.2,Topic 7,52.2
Document 29,0.0,35.2,0.0,0.0,0.0,0.0,0.0,64.8,Topic 7,64.8
Document 30,0.0,23.5,13.8,6.3,33.3,0.0,0.0,23.0,Topic 4,33.3
Document 31,0.0,2.5,49.3,0.0,0.0,0.0,0.0,48.2,Topic 2,49.3
Document 32,34.7,16.3,0.0,0.0,0.0,0.0,4.6,44.4,Topic 7,44.4
Document 33,0.0,0.0,0.0,0.0,9.4,45.7,8.6,36.2,Topic 5,45.7
Document 34,0.0,0.0,7.2,34.6,0.0,0.0,0.0,58.2,Topic 7,58.2
Document 35,0.0,7.5,65.5,0.1,0.0,0.0,10.1,16.8,Topic 2,65.5
Document 36,0.0,24.5,19.9,8.4,0.0,0.1,0.0,47.0,Topic 7,47.0
Document 37,0.0,12.8,3.4,41.3,0.0,0.0,0.0,42.5,Topic 7,42.5
Document 38,0.0,16.3,0.1,0.0,0.0,0.0,24.3,59.3,Topic 7,59.3
Document 39,0.0,18.3,2.8,0.0,4.7,0.0,0.0,74.1,Topic 7,74.1
Document 40,0.0,11.6,27.2,0.0,0.0,14.9,11.5,34.8,Topic 7,34.8
Document 41,0.0,25.8,39.9,0.0,0.0,0.1,0.0,34.1,Topic 2,39.9
Document 42,0.0,42.3,1.2,0.0,0.0,0.0,11.5,44.9,Topic 7,44.9
Document 43,0.0,0.0,91.3,0.0,0.0,8.7,0.0,0.0,Topic 2,91.3
Document 44,0.0,0.0,44.0,0.0,0.0,0.0,0.0,56.0,Topic 7,56.0
Document 45,0.0,0.0,29.1,0.0,0.0,0.0,70.8,0.0,Topic 6,70.8
Document 46,27.7,0.1,0.0,0.0,14.5,22.1,0.0,35.6,Topic 7,35.6
Document 47,0.0,0.0,0.0,0.0,42.8,0.0,0.0,57.2,Topic 7,57.2
Document 48,0.0,0.1,0.0,0.0,3.8,0.0,39.2,56.9,Topic 7,56.9
Document 49,0.0,12.9,30.8,8.8,0.5,10.9,0.0,36.1,Topic 7,36.1
Document 50,0.0,31.9,0.0,0.0,27.8,0.0,0.0,40.3,Topic 7,40.3
Document 51,0.0,0.0,42.1,0.0,0.0,0.0,0.0,57.9,Topic 7,57.9
Document 52,0.0,2.2,0.1,26.3,11.5,7.6,0.0,52.3,Topic 7,52.3
Document 53,0.0,0.0,0.0,11.3,0.0,0.0,0.0,88.6,Topic 7,88.6
Document 54,0.0,34.0,32.2,0.0,0.0,0.1,0.0,33.6,Topic 1,34.0
Document 55,52.4,47.4,0.0,0.0,0.0,0.1,0.0,0.0,Topic 0,52.4
Document 56,5.7,0.0,0.0,11.9,12.5,29.2,8.2,32.4,Topic 7,32.4
Document 57,2.4,5.1,0.0,0.0,18.1,0.4,0.0,74.0,Topic 7,74.0
Document 58,0.0,51.8,0.0,19.6,0.0,0.0,0.0,28.6,Topic 1,51.8
Document 59,0.0,32.8,0.0,0.0,0.0,0.0,42.6,24.6,Topic 6,42.6
Document 60,0.0,36.2,0.0,0.0,0.0,63.8,0.0,0.0,Topic 5,63.8
Document 61,0.0,0.0,1.9,0.0,0.0,29.8,0.0,68.3,Topic 7,68.3
Document 62,0.0,34.0,0.2,21.3,0.0,0.0,18.9,25.6,Topic 1,34.0
Document 63,4.4,13.6,0.0,0.0,0.0,43.7,0.0,38.4,Topic 5,43.7
Document 64,0.0,9.1,0.1,17.3,0.0,16.5,0.0,57.0,Topic 7,57.0
Document 65,0.0,0.0,0.0,0.0,0.0,0.0,23.8,76.1,Topic 7,76.1
Document 66,0.0,0.0,53.9,0.0,0.0,0.0,0.0,46.1,Topic 2,53.9
Document 67,26.4,26.6,5.4,0.0,0.0,0.0,0.1,41.4,Topic 7,41.4
Document 68,0.0,28.9,44.9,0.0,0.0,0.0,0.0,26.2,Topic 2,44.9
Document 69,0.0,0.0,0.0,0.0,0.0,29.4,0.0,70.5,Topic 7,70.5
Document 70,28.1,0.0,0.0,0.0,0.0,11.1,0.0,60.8,Topic 7,60.8
Document 71,8.9,0.0,0.0,6.6,6.8,35.4,0.8,41.4,Topic 7,41.4
Document 72,0.0,18.1,32.3,0.0,21.9,0.0,11.6,16.1,Topic 2,32.3
Document 73,27.7,0.0,0.1,0.0,5.0,0.0,0.0,67.2,Topic 7,67.2
Document 74,0.1,41.5,0.0,26.4,0.0,11.1,0.0,20.9,Topic 1,41.5
Document 75,34.1,0.0,0.0,0.0,0.0,0.0,0.0,65.8,Topic 7,65.8
Document 76,0.0,42.5,0.0,0.0,38.3,0.0,19.2,0.0,Topic 1,42.5
Document 77,7.7,0.0,0.0,0.0,0.0,7.0,0.0,85.3,Topic 7,85.3
Document 78,0.0,0.0,33.5,21.0,0.0,0.0,9.3,36.1,Topic 7,36.1
Document 79,13.7,0.0,0.0,0.0,0.0,36.8,0.0,49.4,Topic 7,49.4
Document 80,0.0,0.0,0.0,0.0,0.0,31.5,0.0,68.4,Topic 7,68.4
Document 81,0.0,0.0,22.5,0.0,19.1,31.6,0.0,26.8,Topic 5,31.6
Document 82,0.0,4.8,40.9,18.8,0.0,0.0,0.0,35.5,Topic 2,40.9
Document 83,0.6,0.0,0.0,16.1,34.5,0.0,0.0,48.8,Topic 7,48.8
Document 84,0.0,23.0,9.8,3.1,0.0,26.4,12.6,25.1,Topic 5,26.4
Document 85,0.0,0.0,0.0,0.0,16.1,64.2,0.0,19.5,Topic 5,64.2
Document 86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Topic 7,100.0
Document 87,0.0,0.0,0.0,0.0,0.0,0.0,28.9,71.0,Topic 7,71.0
Document 88,0.0,0.0,0.0,0.0,0.0,0.0,17.4,82.6,Topic 7,82.6
Document 89,3.6,31.8,4.8,0.0,0.0,0.0,23.6,36.2,Topic 7,36.2
Document 90,0.0,0.0,65.2,0.0,0.0,0.0,0.0,34.7,Topic 2,65.2
Document 91,0.0,0.0,14.4,33.4,0.0,0.0,0.0,52.2,Topic 7,52.2
Document 92,0.0,32.6,20.4,0.0,0.0,0.0,0.0,46.9,Topic 7,46.9
Document 93,0.0,22.8,0.0,14.7,0.0,0.0,0.0,62.5,Topic 7,62.5
Document 94,0.0,13.1,0.0,28.9,0.0,0.0,0.0,58.1,Topic 7,58.1
Document 95,0.0,22.5,6.3,0.0,0.0,0.0,0.0,71.2,Topic 7,71.2
Document 96,11.6,7.2,0.0,0.0,0.0,20.5,0.0,60.6,Topic 7,60.6
